Parameter,Component,Slope,MeanSlope,Category,CV
p3,P97m,0.39829156554242084,0.3965812913859844,Moderately Sensitive,0.037905225784868456
p3,P51m,0.39683359785537686,0.3965812913859844,Moderately Sensitive,0.03753921779218011
p3,ELm,0.3969383004776162,0.3965812913859844,Moderately Sensitive,0.03776942103271566
p4,CLm,0.8047913300863189,0.8090845592744815,Highly Sensitive,0.08063824832717936
p4,P97m,0.8084554740085627,0.8090845592744815,Highly Sensitive,0.08100307851380181
p4,P51m,0.80726800108872,0.8090845592744815,Highly Sensitive,0.0809257315178232
p4,ELm,0.8158234319143249,0.8090845592744815,Highly Sensitive,0.08139533462958536
p5,CLm,5.846110364104434e-32,1.4615275910261086e-32,Less Sensitive,3.885574088551156e-16
p5,P97m,0.0,1.4615275910261086e-32,Less Sensitive,0.0
p5,P51m,0.0,1.4615275910261086e-32,Less Sensitive,0.0
p5,ELm,0.0,1.4615275910261086e-32,Less Sensitive,0.0
q1a,CLm,0.009364381400325595,0.0035435758888337646,Less Sensitive,0.0018054489045064657
q1a,P97m,0.0013041475740420822,0.0035435758888337646,Less Sensitive,0.0006369757510013039
q1a,P51m,0.0017528872904836908,0.0035435758888337646,Less Sensitive,0.0006369757510013039
q1a,ELm,0.0017528872904836908,0.0035435758888337646,Less Sensitive,0.0006369757510013039
q1b,CLm,0.0022337401828048825,7.29097830916474e-05,Less Sensitive,0.001989847377112214
q1b,P97m,0.0,7.29097830916474e-05,Less Sensitive,0.0
q1b,P51m,-0.0011597429323277908,7.29097830916474e-05,Less Sensitive,0.0014478307165925594
q1b,ELm,-0.0007823581181105021,7.29097830916474e-05,Less Sensitive,0.000643441492784263
q2,CLm,-0.002469668770958011,0.00024631450209872986,Less Sensitive,0.0018210992333980859
q2,P97m,0.0005722798006068532,0.00024631450209872986,Less Sensitive,0.0010908075976903983
q2,P51m,0.0018630474814802422,0.00024631450209872986,Less Sensitive,0.001245675584609994
q2,ELm,0.001019599497265835,0.00024631450209872986,Less Sensitive,0.001245675584609994
q3a,CLm,0.006499105364525796,0.002034808129964643,Less Sensitive,0.0018054489045064655
q3a,P97m,0.0,0.002034808129964643,Less Sensitive,0.0
q3a,P51m,0.0016401271553327763,0.002034808129964643,Less Sensitive,0.0009373714663306725
q3a,ELm,0.0,0.002034808129964643,Less Sensitive,0.0
q3b,CLm,0.0011742648941670088,-0.003421399443225134,Less Sensitive,0.0014253882640702833
q3b,P97m,-0.001515152529873914,-0.003421399443225134,Less Sensitive,0.0006435598050933162
q3b,P51m,-0.007878982452085697,-0.003421399443225134,Less Sensitive,0.0016901288933344118
q3b,ELm,-0.005465727685107934,-0.003421399443225134,Less Sensitive,0.0015480717935942485
q4a,CLm,0.014400897366194968,0.004252404192332364,Less Sensitive,0.0018054489045064657
q4a,P97m,0.002608719403134489,0.004252404192332364,Less Sensitive,0.0006369757510013039
q4a,P51m,0.0,0.004252404192332364,Less Sensitive,0.0
q4a,ELm,0.0,0.004252404192332364,Less Sensitive,0.0
q4b,CLm,0.0014934131849027761,-0.004799077032893175,Less Sensitive,0.0015756603329131495
q4b,P97m,-0.0037620977377344914,-0.004799077032893175,Less Sensitive,0.0009006833805797677
q4b,P51m,-0.007066981499474278,-0.004799077032893175,Less Sensitive,0.0016555501926607792
q4b,ELm,-0.009860642079266705,-0.004799077032893175,Less Sensitive,0.0020546934097192726
v1,CLm,1.3586708999822903,1.3598654552476,Highly Sensitive,0.1245602927644825
v1,P97m,1.3661490328291133,1.3598654552476,Highly Sensitive,0.12515945357309827
v1,P51m,1.3592683449542826,1.3598654552476,Highly Sensitive,0.12459333475787417
v1,ELm,1.3553735432247143,1.3598654552476,Highly Sensitive,0.1241727266816163
v2,CLm,-4.627071682280216,-4.633286507909835,Highly Sensitive,0.12596899609620363
v2,P97m,-4.640714157174417,-4.633286507909835,Highly Sensitive,0.12706617244217075
v2,P51m,-4.639241966029664,-4.633286507909835,Highly Sensitive,0.12663405999789992
v2,ELm,-4.626118226155045,-4.633286507909835,Highly Sensitive,0.1260546678045409
v3,CLm,0.39744437098809005,0.3956739198829018,Moderately Sensitive,0.037770264985040665
v3,P97m,0.3939950719477837,0.3956739198829018,Moderately Sensitive,0.03727964141893931
v3,P51m,0.39574541237024347,0.3956739198829018,Moderately Sensitive,0.03763925436011051
v3,ELm,0.3955108242254898,0.3956739198829018,Moderately Sensitive,0.03745200575779059
v4,CLm,0.8068773719246793,0.8058654391051672,Highly Sensitive,0.08098817186062536
v4,P97m,0.8061470788826083,0.8058654391051672,Highly Sensitive,0.08110167420406705
v4,P51m,0.8090349231192782,0.8058654391051672,Highly Sensitive,0.08120864147371741
v4,ELm,0.8014023824941023,0.8058654391051672,Highly Sensitive,0.08063224267909302
v5,CLm,1.9487034624446669e-31,4.871758656111667e-32,Less Sensitive,3.885574088551156e-16
v5,P97m,0.0,4.871758656111667e-32,Less Sensitive,0.0
v5,P51m,0.0,4.871758656111667e-32,Less Sensitive,0.0
v5,ELm,0.0,4.871758656111667e-32,Less Sensitive,0.0
