Parameter,Component,Slope,MeanSlope,Category,CV
dg3,CLm,0.0,0.0,Less Sensitive,0.0
dg3,P97m,0.0,0.0,Less Sensitive,0.0
dg3,P51m,0.0,0.0,Less Sensitive,0.0
dg3,ELm,0.0,0.0,Less Sensitive,0.0
dg4,CLm,0.0,0.0,Less Sensitive,0.0
dg4,P97m,0.0,0.0,Less Sensitive,0.0
dg4,P51m,0.0,0.0,Less Sensitive,0.0
dg4,ELm,0.0,0.0,Less Sensitive,0.0
dg5,CLm,0.0,0.0,Less Sensitive,0.0
dg5,P97m,0.0,0.0,Less Sensitive,0.0
dg5,P51m,0.0,0.0,Less Sensitive,0.0
dg5,ELm,0.0,0.0,Less Sensitive,0.0
dp6,CLm,0.0,0.0,Less Sensitive,0.0
dp6,P97m,0.0,0.0,Less Sensitive,0.0
dp6,P51m,0.0,0.0,Less Sensitive,0.0
dp6,ELm,0.0,0.0,Less Sensitive,0.0
g1,CLm,0.0,0.0,Less Sensitive,0.0
g1,P97m,0.0,0.0,Less Sensitive,0.0
g1,P51m,0.0,0.0,Less Sensitive,0.0
g1,ELm,0.0,0.0,Less Sensitive,0.0
g2,CLm,0.0,0.0,Less Sensitive,0.0
g2,P97m,0.0,0.0,Less Sensitive,0.0
g2,P51m,0.0,0.0,Less Sensitive,0.0
g2,ELm,0.0,0.0,Less Sensitive,0.0
k1D,CLm,0.0,-0.390317075478519,Moderately Sensitive,0.0
k1D,P97m,-1.561268301914076,-0.390317075478519,Moderately Sensitive,0.22166683508759683
k1D,P51m,0.0,-0.390317075478519,Moderately Sensitive,0.0
k1D,ELm,0.0,-0.390317075478519,Moderately Sensitive,0.0
k1L,CLm,-0.03827641345030393,0.03739498061440225,Less Sensitive,0.025174422175758555
k1L,P97m,0.42331064903405946,0.03739498061440225,Less Sensitive,0.10457706451743662
k1L,P51m,-0.22150825856405446,0.03739498061440225,Less Sensitive,0.08149225641443915
k1L,ELm,-0.013946054562092084,0.03739498061440225,Less Sensitive,0.008438202646156497
k2,CLm,-0.0032834956854048483,-0.4141079926969061,Moderately Sensitive,0.001626282093721477
k2,P97m,-1.6512705108553547,-0.4141079926969061,Moderately Sensitive,0.22422741232674526
k2,P51m,-0.0003296331735145519,-0.4141079926969061,Moderately Sensitive,0.0034073151149730876
k2,ELm,-0.0015483310733504425,-0.4141079926969061,Moderately Sensitive,0.0021048821947264617
k3,CLm,-1.4783488870781363,-1.2498832495388266,Highly Sensitive,0.26501800619445715
k3,P97m,-1.2429912800816996,-1.2498832495388266,Highly Sensitive,0.2454979276373196
k3,P51m,-1.4761286364940003,-1.2498832495388266,Highly Sensitive,0.265979289457553
k3,ELm,-0.8020641945014702,-1.2498832495388266,Highly Sensitive,0.24570542102253035
k4,CLm,-0.915928941346502,-0.8652275132443521,Highly Sensitive,0.2950696794021357
k4,P97m,-0.7695977092913884,-0.8652275132443521,Highly Sensitive,0.27325128536832266
k4,P51m,-0.9207913375813765,-0.8652275132443521,Highly Sensitive,0.2962479363307535
k4,ELm,-0.8545920647581415,-0.8652275132443521,Highly Sensitive,0.28122277854881944
k5,CLm,0.0,0.0,Less Sensitive,0.0
k5,P97m,0.0,0.0,Less Sensitive,0.0
k5,P51m,0.0,0.0,Less Sensitive,0.0
k5,ELm,0.0,0.0,Less Sensitive,0.0
kd,CLm,0.0,0.0,Less Sensitive,0.0
kd,P97m,0.0,0.0,Less Sensitive,0.0
kd,P51m,0.0,0.0,Less Sensitive,0.0
kd,ELm,0.0,0.0,Less Sensitive,0.0
kmcc,CLm,0.0,0.0,Less Sensitive,0.0
kmcc,P97m,0.0,0.0,Less Sensitive,0.0
kmcc,P51m,0.0,0.0,Less Sensitive,0.0
kmcc,ELm,0.0,0.0,Less Sensitive,0.0
kmpac,CLm,0.0007132119241266275,0.00017426150549615133,Less Sensitive,0.0006614381489174481
kmpac,P97m,0.0,0.00017426150549615133,Less Sensitive,0.0
kmpac,P51m,0.0,0.00017426150549615133,Less Sensitive,0.0
kmpac,ELm,-1.6165902142022142e-05,0.00017426150549615133,Less Sensitive,0.0009450191814383758
kmpbc,CLm,0.0,0.0,Less Sensitive,0.0
kmpbc,P97m,0.0,0.0,Less Sensitive,0.0
kmpbc,P51m,0.0,0.0,Less Sensitive,0.0
kmpbc,ELm,0.0,0.0,Less Sensitive,0.0
p1,CLm,0.14747987548149216,0.09958094555159581,Less Sensitive,0.04171160697567616
p1,P97m,0.041599829396897915,0.09958094555159581,Less Sensitive,0.0189613096251127
p1,P51m,0.2066724281026289,0.09958094555159581,Less Sensitive,0.04308213716102236
p1,ELm,0.002571649225364319,0.09958094555159581,Less Sensitive,0.0006681650266178155
p1L,CLm,0.0,-0.31676295089821976,Moderately Sensitive,0.0
p1L,P97m,0.0,-0.31676295089821976,Moderately Sensitive,0.0
p1L,P51m,0.0,-0.31676295089821976,Moderately Sensitive,0.0
p1L,ELm,-1.267051803592879,-0.31676295089821976,Moderately Sensitive,0.17722473115954918
p2,CLm,-0.07239928660582373,0.14985604951362352,Less Sensitive,0.0716790573907373
p2,P97m,0.7448839519589452,0.14985604951362352,Less Sensitive,0.2245708585951323
p2,P51m,-0.07239928660582373,0.14985604951362352,Less Sensitive,0.0716790573907373
p2,ELm,-0.0006611806928036086,0.14985604951362352,Less Sensitive,0.0006613131724144148
p3,CLm,0.5272842273476365,0.2336780233054385,Moderately Sensitive,0.0636300669303351
p3,P97m,0.5188900676398012,0.2336780233054385,Moderately Sensitive,0.0630364633749057
p3,P51m,0.5188552674118818,0.2336780233054385,Moderately Sensitive,0.06265370357024984
p3,ELm,-0.6303174691775656,0.2336780233054385,Moderately Sensitive,0.1823910217194269
p4,CLm,0.0,0.0,Less Sensitive,0.0
p4,P97m,0.0,0.0,Less Sensitive,0.0
p4,P51m,0.0,0.0,Less Sensitive,0.0
p4,ELm,0.0,0.0,Less Sensitive,0.0
p5,CLm,0.0,0.0,Less Sensitive,0.0
p5,P97m,0.0,0.0,Less Sensitive,0.0
p5,P51m,0.0,0.0,Less Sensitive,0.0
p5,ELm,0.0,0.0,Less Sensitive,0.0
q1a,CLm,0.0,0.0,Less Sensitive,0.0
q1a,P97m,0.0,0.0,Less Sensitive,0.0
q1a,P51m,0.0,0.0,Less Sensitive,0.0
q1a,ELm,0.0,0.0,Less Sensitive,0.0
q1b,CLm,0.0,0.0,Less Sensitive,0.0
q1b,P97m,0.0,0.0,Less Sensitive,0.0
q1b,P51m,0.0,0.0,Less Sensitive,0.0
q1b,ELm,0.0,0.0,Less Sensitive,0.0
q2,CLm,0.0,0.0,Less Sensitive,0.0
q2,P97m,0.0,0.0,Less Sensitive,0.0
q2,P51m,0.0,0.0,Less Sensitive,0.0
q2,ELm,0.0,0.0,Less Sensitive,0.0
q3a,CLm,0.0,0.0,Less Sensitive,0.0
q3a,P97m,0.0,0.0,Less Sensitive,0.0
q3a,P51m,0.0,0.0,Less Sensitive,0.0
q3a,ELm,0.0,0.0,Less Sensitive,0.0
q3b,CLm,0.0,0.0,Less Sensitive,0.0
q3b,P97m,0.0,0.0,Less Sensitive,0.0
q3b,P51m,0.0,0.0,Less Sensitive,0.0
q3b,ELm,0.0,0.0,Less Sensitive,0.0
q4a,CLm,0.0,0.0,Less Sensitive,0.0
q4a,P97m,0.0,0.0,Less Sensitive,0.0
q4a,P51m,0.0,0.0,Less Sensitive,0.0
q4a,ELm,0.0,0.0,Less Sensitive,0.0
q4b,CLm,0.0,0.0,Less Sensitive,0.0
q4b,P97m,0.0,0.0,Less Sensitive,0.0
q4b,P51m,0.0,0.0,Less Sensitive,0.0
q4b,ELm,0.0,0.0,Less Sensitive,0.0
v1,CLm,0.43524115986599293,0.3026895933392751,Moderately Sensitive,0.10543714306674871
v1,P97m,0.24439040847477206,0.3026895933392751,Moderately Sensitive,0.060972183178030284
v1,P51m,0.3926013659990213,0.3026895933392751,Moderately Sensitive,0.09743417742746942
v1,ELm,0.13852543901731412,0.3026895933392751,Moderately Sensitive,0.03469116404439818
v2,CLm,-0.024611354609541163,0.01968827616075041,Less Sensitive,0.02372881355932205
v2,P97m,0.19686422343959187,0.01968827616075041,Less Sensitive,0.10066461596243301
v2,P51m,-0.047995078888105905,0.01968827616075041,Less Sensitive,0.04225489254482829
v2,ELm,-0.045504685298943144,0.01968827616075041,Less Sensitive,0.043087597468940336
v3,CLm,0.5217952591381919,0.26070741327301183,Moderately Sensitive,0.06298328498032868
v3,P97m,0.5183109499341456,0.26070741327301183,Moderately Sensitive,0.06297891316422283
v3,P51m,0.5212818954380214,0.26070741327301183,Moderately Sensitive,0.06292752947091468
v3,ELm,-0.5185584514183116,0.26070741327301183,Moderately Sensitive,0.1811094453628268
v4,CLm,0.0,0.0,Less Sensitive,0.0
v4,P97m,0.0,0.0,Less Sensitive,0.0
v4,P51m,0.0,0.0,Less Sensitive,0.0
v4,ELm,0.0,0.0,Less Sensitive,0.0
v5,CLm,0.0,6.982193580512028e-05,Less Sensitive,0.0
v5,P97m,0.0002792877432204811,6.982193580512028e-05,Less Sensitive,0.0009450191814383758
v5,P51m,0.0,6.982193580512028e-05,Less Sensitive,0.0
v5,ELm,0.0,6.982193580512028e-05,Less Sensitive,0.0
