Parameter_Value,CLm,P97m,P51m,ELm,Parameter,Source CSV,CLm_delta,P97m_delta,P51m_delta,ELm_delta,FoldChange
1.46887236,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,3.797498345
1.61575959,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,4.177248164
1.77733555,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,4.594972983
1.95506911,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,5.054470295
2.15057602,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,5.559917322
2.36563362,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,6.115909049
2.60219698,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,6.727499948
2.86241668,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,7.400249948
3.14865835,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,8.140274948
3.46352418,24,24,24,24,Ap3,period_data_Ap3.csv,0,0,0,0,8.95430243
3.8098766,24,24,24,13.23529412,Ap3,period_data_Ap3.csv,0,0,0,-10.76470588,9.849732678
0.01758423,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.101525577
0.01934266,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.111678176
0.02127692,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.122845958
0.02340461,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.135130543
0.02574508,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.148643649
0.02831958,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.163507968
0.03115154,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.179858776
0.0342667,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.197844688
0.03769337,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.217629157
0.0414627,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.239392032
0.04560897,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.263331236
0.05016987,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.289664376
0.05518686,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.318630831
0.06070554,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.35049388
0.0667761,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.385543303
0.07345371,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.424097633
0.08079908,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.46650739
0.08887899,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.513158141
0.09776688,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.564473903
0.10754357,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.620921305
0.11829793,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.683013453
0.13012772,24,24,24,24,Bk8,period_data_Bk8.csv,0,0,0,0,0.751314781
