Parameter,Value,Label,Period_LHYm,Period_P97m,Period_P51m,Period_ELm
q2,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
kmpac,137,baseline,27.7142857142857,27.75,27.75,27.75
kmpac,0.000000001,knockout,27.8571428571429,27.75,27.75,27.75
kd,7,baseline,27.7142857142857,27.75,27.75,27.75
kd,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
v5,0.1129,baseline,27.7142857142857,27.75,27.75,27.75
v5,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
K11,0.3322,baseline,27.7142857142857,27.75,27.75,27.75
K11,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
k5,0.1591,baseline,27.7142857142857,27.75,27.75,27.75
k5,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
K14,1.5,baseline,27.7142857142857,27.75,27.75,27.75
K14,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
p5,0.5293,baseline,27.7142857142857,27.75,27.75,27.75
p5,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
d5L,5.0712,baseline,27.7142857142857,27.75,27.75,27.75
d5L,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
d5D,0.4404,baseline,27.7142857142857,27.75,27.75,27.75
d5D,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
g1,0.001,baseline,27.7142857142857,27.75,27.75,27.75
g1,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
g2,0.18,baseline,27.7142857142857,27.75,27.75,27.75
g2,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
K12,0.86,baseline,27.7142857142857,27.75,27.75,27.75
K12,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
Bk8,0.1732,baseline,27.7142857142857,27.75,27.75,27.75
Bk8,0.000000001,knockout,nan,nan,nan,nan
Bm8,0.7728,baseline,27.7142857142857,27.75,27.75,27.75
Bm8,0.000000001,knockout,nan,nan,nan,nan
Bp4,0.4147,baseline,27.7142857142857,27.75,27.75,27.75
Bp4,0.000000001,knockout,27.4285714285714,27.5,27.5,27.5
kmpbc,7162,baseline,27.7142857142857,27.75,27.75,27.75
kmpbc,0.000000001,knockout,26.75,26.75,26.75,26.75
kmcc,13406,baseline,27.7142857142857,27.75,27.75,27.75
kmcc,0.000000001,knockout,23.5555555555556,23.5555555555556,23.5555555555556,23.5555555555556
Cp5,0.4567,baseline,27.7142857142857,27.75,27.75,27.75
Cp5,0.000000001,knockout,25.75,25.625,25.75,25.75
Cm9,0.867,baseline,27.7142857142857,27.75,27.75,27.75
Cm9,0.000000001,knockout,nan,nan,nan,nan
Ck9,0.3237,baseline,27.7142857142857,27.75,27.75,27.75
Ck9,0.000000001,knockout,nan,nan,nan,nan
Gp6,0.0001,baseline,27.7142857142857,27.75,27.75,27.75
Gp6,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
dg1,0.01,baseline,27.7142857142857,27.75,27.75,27.75
dg1,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
dg2,1.280202,baseline,27.7142857142857,27.75,27.75,27.75
dg2,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
dg5,1.067661,baseline,27.7142857142857,27.75,27.75,27.75
dg5,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
dg3,0.01,baseline,27.7142857142857,27.75,27.75,27.75
dg3,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
dg4,1.750462,baseline,27.7142857142857,27.75,27.75,27.75
dg4,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
dp6,0.01,baseline,27.7142857142857,27.75,27.75,27.75
dp6,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
Gkp,1.185527,baseline,27.7142857142857,27.75,27.75,27.75
Gkp,0.000000001,knockout,27.7142857142857,27.75,27.75,27.75
