condition,parameter,param_value,fold_change,mean_area,mean_eccentricity,mean_delta_area,mean_delta_eccentricity,base_param_value
LD,Ck9,1.636132,5.054470188446092,1150695.4166666667,0.5410364093052643,10448.5,0.004901653152039137,0.3237
LD,Ck9,1.799745,5.559916589434661,1152317.3333333333,0.5310959173989288,12070.416666666666,-0.005038838754296365,0.3237
LD,Ck9,1.97972,6.1159097930182265,1154431.75,0.5285455051649802,14184.833333333334,-0.007589250988244867,0.3237
LD,Ck9,2.177692,6.72750077232005,1155197.5833333333,0.5272125525850021,14950.666666666666,-0.008922203568222977,0.3237
LD,Ck9,2.395461,7.400250231696015,1157642.9166666667,0.5275071621409206,17396.0,-0.008627594012304498,0.3237
LD,Ck9,2.635007,8.140274945937596,1160208.6666666667,0.5223648684980399,19961.75,-0.013769887655185303,0.3237
LD,Ck9,2.898508,8.954303367315417,1163056.25,0.517594938892739,22809.333333333332,-0.01853981726048611,0.3237
LD,Ck9,3.188358,9.8497312326228,1166064.0,0.5127100114332568,25817.083333333332,-0.023424744719968398,0.3237
LD,K11,0.033727,0.10152618904274534,1149730.0,0.5432627269789743,9378.0,0.004400952723042649,0.3322
LD,K11,0.037099,0.11167670078266105,1149730.0,0.5422667400990985,9378.0,0.0034049658431669163,0.3322
LD,K11,0.040809,0.12284467188440698,1149730.0,0.5413358371872544,9378.0,0.002474062931322879,0.3322
LD,K11,0.04489,0.13512944009632752,1145070.1666666667,0.5334337743708799,4718.166666666667,-0.005427999885051678,0.3322
LD,K11,0.049379,0.14864238410596026,1149730.0,0.5412795740983762,9378.0,0.0024177998424446587,0.3322
LD,K11,0.054317,0.16350692354003613,1149730.0,0.542563788974136,9378.0,0.0037020147182044716,0.3322
LD,K11,0.059749,0.1798585189644792,1149730.0,0.5420980988849887,9378.0,0.00323632462905718,0.3322
LD,K11,0.065724,0.197844671884407,1149730.0,0.5425187158352176,9378.0,0.0036569415792860236,0.3322
LD,K11,0.072296,0.21762793497892835,1149730.0,0.5431331904485028,9378.0,0.004271416192571283,0.3322
LD,K11,0.079526,0.2393919325707405,1149730.0,0.5422439759730158,9378.0,0.0033822017170842176,0.3322
LD,K11,0.087479,0.2633323299217339,1149730.0,0.540632810853682,9378.0,0.001771036597750436,0.3322
LD,K11,0.096227,0.2896658639373871,1149730.0,0.5438722641792308,9378.0,0.005010489923299268,0.3322
LD,K11,0.105849,0.318630343166767,1149730.0,0.5438280353554689,9378.0,0.004966261099537257,0.3322
LD,K11,0.116434,0.35049367850692353,1149730.0,0.5438087304564685,9378.0,0.004946956200536867,0.3322
LD,K11,0.128077,0.3855418422636966,1149730.0,0.5445570131685115,9378.0,0.005695238912579882,0.3322
LD,K11,0.140885,0.42409692956050576,1149730.0,0.5427939945285414,9378.0,0.003932220272609782,0.3322
LD,K11,0.154974,0.46650812763395544,1149730.0,0.5427149561124461,9378.0,0.003853181856514537,0.3322
LD,K11,0.170471,0.5131577363034318,1149730.0,0.541116105932775,9378.0,0.0022543316768434316,0.3322
LD,K11,0.187518,0.564473208910295,1149730.0,0.5438065611536382,9378.0,0.004944786897706721,0.3322
LD,K11,0.20627,0.6209211318482842,1145070.1666666667,0.537731002352754,4718.166666666667,-0.0011307719031776649,0.3322
LD,K11,0.226897,0.6830132450331126,1149730.0,0.5455001103869564,9378.0,0.006638336131024815,0.3322
LD,K11,0.249587,0.7513154726068634,1149730.0,0.5432332737719334,9378.0,0.004371499516001835,0.3322
LD,K11,0.274545,0.8264449127031908,1149730.0,0.5416256100579381,9378.0,0.0027638358020065368,0.3322
LD,K11,0.302,0.9090909090909091,1134348.25,0.5361245830793998,-6003.75,-0.0027371911765317523,0.3322
LD,K11,0.3322,1.0,1140352.0,0.5388617742559316,0.0,0.0,0.3322
LD,K11,0.36542,1.1,1145070.1666666667,0.5368702174554506,4718.166666666667,-0.0019915568004809092,0.3322
LD,K11,0.401962,1.21,1149730.0,0.5419782589678411,9378.0,0.0031164847119094785,0.3322
LD,K11,0.442158,1.3309993979530403,1149730.0,0.5414144268179154,9378.0,0.0025526525619838647,0.3322
LD,K11,0.486374,1.464099939795304,1149730.0,0.5409783944550802,9378.0,0.0021166201991486833,0.3322
LD,K11,0.535011,1.610508729680915,1149730.0,0.545098530196351,9378.0,0.006236755940419364,0.3322
LD,K11,0.588513,1.771562311860325,1149730.0,0.5449701940074582,9378.0,0.00610841975152653,0.3322
LD,K11,0.647364,1.9487176399759183,1149730.0,0.5404309567690545,9378.0,0.001569182513122917,0.3322
LD,K11,0.7121,2.1435881998795905,1140352.0,0.5364369363124144,0.0,-0.0024248379435171017,0.3322
LD,K11,0.78331,2.3579470198675496,1145070.1666666667,0.5359222966932845,4718.166666666667,-0.0029394775626470173,0.3322
LD,K11,0.861641,2.593741721854305,1149730.0,0.5433846638606079,9378.0,0.004522889604676321,0.3322
LD,K11,0.947805,2.8531155930162555,1149730.0,0.540641423401298,9378.0,0.0017796491453664447,0.3322
LD,K11,1.042586,3.13842865743528,1145088.5,0.5375477624882751,4736.5,-0.0013140117676565717,0.3322
LD,K11,1.146845,3.452272727272727,1145088.5,0.5369330631424494,4736.5,-0.0019287111134821955,0.3322
LD,K11,1.261529,3.7974984948826007,1145088.3333333333,0.5405425697489926,4736.333333333333,0.0016807954930609474,0.3322
LD,K11,1.387682,4.177248645394341,1145088.5,0.5376730953365919,4736.5,-0.0011886789193395846,0.3322
LD,K11,1.52645,4.594972907886816,1145088.5,0.5389743649924635,4736.5,0.00011259073653207181,0.3322
LD,K11,1.679095,5.054470198675497,1140365.6666666667,0.5366266912192499,13.666666666666666,-0.0022350830366816197,0.3322
LD,K11,1.847005,5.559918723660446,1145088.5,0.5356962235422295,4736.5,-0.0031655507137020402,0.3322
LD,K11,2.031705,6.115909090909091,1145219.3333333333,0.5388811448010663,4867.333333333333,1.937054513479845e-05,0.3322
LD,K11,2.234875,6.727498494882601,1145219.3333333333,0.5394157910347767,4867.333333333333,0.0005540167788451086,0.3322
LD,K11,2.458363,7.40024984948826,1145219.3333333333,0.537539574755281,4867.333333333333,-0.00132219950065048,0.3322
